date,season,neutral,playoff,team1,team2,elo1,elo2,elo_prob1,score1,score2,result1
11/5/2017,2017,0,0,SEA,WSH,1607.886131,1477.284329,0.755095239,14,17,0
11/5/2017,2017,0,0,DAL,KC,1585.099607,1667.145951,0.475488003,28,17,1
11/5/2017,2017,0,0,MIA,OAK,1474.007113,1467.666493,0.60124843,24,27,0
11/6/2017,2017,0,0,GB,DET,1558.056674,1507.726063,0.660135108,17,30,0
11/9/2017,2017,0,0,ARI,SEA,1475.845056,1584.90741,0.436926963,16,22,0
11/12/2017,2017,0,0,CHI,GB,1419.188303,1521.286376,0.44681356,16,23,0
11/12/2017,2017,0,0,TB,NYJ,1424.494305,1466.226743,0.533434745,15,10,1
11/12/2017,2017,0,0,WSH,MIN,1500.263051,1564.126735,0.501635284,30,38,0
11/12/2017,2017,0,0,TEN,CIN,1487.737684,1459.122334,0.631554927,24,20,1
11/12/2017,2017,0,0,JAX,LAC,1518.50676,1462.177107,0.667839508,20,17,1
11/12/2017,2017,0,0,IND,PIT,1417.156825,1622.673701,0.308129178,17,20,0
11/12/2017,2017,0,0,DET,CLE,1544.496361,1255.42663,0.884748753,38,24,1
11/12/2017,2017,0,0,BUF,NO,1527.525714,1609.669092,0.475348699,10,47,0
11/12/2017,2017,0,0,LAR,HOU,1550.016949,1458.178767,0.711531367,33,7,1
11/12/2017,2017,0,0,ATL,DAL,1585.662437,1611.370429,0.556305904,27,7,1
11/12/2017,2017,0,0,SF,NYG,1266.245425,1418.846906,0.376536634,31,21,1
11/12/2017,2017,0,0,DEN,NE,1473.418277,1695.745045,0.287891692,16,41,0
11/13/2017,2017,0,0,CAR,MIA,1543.547057,1456.778278,0.705504893,45,21,1
11/16/2017,2017,0,0,PIT,TEN,1630.703953,1499.113409,0.756146249,40,17,1
11/19/2017,2017,0,0,NO,WSH,1643.984131,1478.207552,0.790585253,34,31,1
11/19/2017,2017,0,0,MIA,TB,1439.042903,1441.038782,0.589689243,20,30,0
11/19/2017,2017,0,0,CHI,DET,1400.914005,1549.873141,0.38147138,24,27,0
11/19/2017,2017,0,0,GB,BAL,1539.560675,1485.110609,0.665435016,0,23,0
11/19/2017,2017,0,0,CLE,JAX,1250.04985,1527.234851,0.227684007,7,19,0
11/19/2017,2017,0,0,HOU,ARI,1440.429222,1459.174527,0.566175354,31,21,1
11/19/2017,2017,0,0,MIN,LAR,1586.182234,1567.766493,0.617790285,24,7,1
11/19/2017,2017,0,0,NYG,KC,1387.706951,1640.875129,0.252904117,12,9,1
11/19/2017,2017,0,0,LAC,BUF,1453.449015,1493.210675,0.53625714,54,24,1
11/19/2017,2017,0,0,DEN,CIN,1455.910703,1447.74661,0.60376232,17,20,0
11/19/2017,2017,1,0,OAK,NE,1484.895328,1713.252619,0.211729759,8,33,0
11/19/2017,2017,0,0,DAL,PHI,1584.827749,1627.817401,0.531633129,9,37,0
11/20/2017,2017,0,0,SEA,ATL,1601.577939,1612.205117,0.577616168,31,34,0
11/23/2017,2017,0,0,DET,MIN,1560.060972,1607.469659,0.525294325,23,30,0
11/23/2017,2017,0,0,DAL,LAC,1548.662607,1484.937521,0.677214743,6,28,0
11/23/2017,2017,0,0,WSH,NYG,1472.95258,1410.358234,0.675790257,20,10,1
11/26/2017,2017,0,0,NYJ,CAR,1449.682265,1561.282431,0.433336248,27,35,0
11/26/2017,2017,0,0,NE,MIA,1725.751926,1409.928868,0.899546313,35,17,1
11/26/2017,2017,0,0,CIN,CLE,1465.062314,1239.397305,0.842002303,30,16,1
11/26/2017,2017,0,0,ATL,TB,1628.625875,1470.152818,0.783539658,34,20,1
11/26/2017,2017,0,0,IND,TEN,1409.126573,1484.885223,0.484522004,16,20,0
11/26/2017,2017,0,0,KC,BUF,1618.223846,1461.722169,0.781608756,10,16,0
11/26/2017,2017,0,0,PHI,CHI,1663.982543,1390.726173,0.875136659,31,3,1
11/26/2017,2017,0,0,SF,SEA,1297.385379,1585.157181,0.21714578,13,24,0
11/26/2017,2017,0,0,LAR,NO,1546.479069,1649.239102,0.445871894,26,20,1
11/26/2017,2017,0,0,ARI,JAX,1438.797627,1537.887397,0.451097708,27,24,1
11/26/2017,2017,0,0,OAK,DEN,1472.396021,1438.594999,0.638473402,21,14,1
11/26/2017,2017,0,0,PIT,GB,1644.932139,1494.836593,0.775248712,31,28,1
11/27/2017,2017,0,0,BAL,HOU,1529.83469,1460.806122,0.68385187,23,16,1
11/30/2017,2017,0,0,DAL,WSH,1503.555254,1487.648665,0.614373973,38,14,1
12/3/2017,2017,0,0,NYJ,KC,1431.034519,1584.399517,0.375505402,38,31,1
12/3/2017,2017,0,0,TEN,HOU,1500.405486,1448.412911,0.662278238,24,13,1
12/3/2017,2017,0,0,GB,TB,1489.160154,1459.510174,0.632939714,26,20,1
12/3/2017,2017,0,0,CHI,SF,1383.437753,1287.585931,0.71625037,14,15,0
12/3/2017,2017,0,0,BUF,NE,1495.546498,1730.794624,0.272886428,3,23,0
12/3/2017,2017,0,0,BAL,DET,1542.227901,1538.038503,0.59827583,44,20,1
12/3/2017,2017,0,0,ATL,MIN,1639.268519,1629.492128,0.605980524,9,14,0
12/3/2017,2017,0,0,MIA,DEN,1404.88617,1424.205745,0.565363212,35,9,1
12/3/2017,2017,0,0,JAX,IND,1522.429061,1393.60631,0.753196457,30,10,1
12/3/2017,2017,0,0,LAC,CLE,1530.044874,1231.838645,0.890004114,19,10,1
12/3/2017,2017,0,0,OAK,NYG,1486.785275,1395.662149,0.710685765,24,17,1
12/3/2017,2017,0,0,ARI,LAR,1454.255962,1568.421349,0.429713854,16,32,0
12/3/2017,2017,0,0,NO,CAR,1627.296822,1579.930178,0.656296748,31,21,1
12/3/2017,2017,0,0,SEA,PHI,1594.956629,1671.270964,0.483723118,24,10,1
12/4/2017,2017,0,0,CIN,PIT,1472.620974,1650.608578,0.342897391,20,23,0
12/7/2017,2017,0,0,ATL,NO,1616.789031,1642.979125,0.555620796,20,17,1
12/10/2017,2017,0,0,CAR,MIN,1564.247875,1651.971616,0.467344458,31,24,1
12/10/2017,2017,0,0,KC,OAK,1557.340674,1498.020226,0.671647523,26,15,1
12/10/2017,2017,0,0,HOU,SF,1432.476257,1298.298514,0.758881889,16,26,0
12/10/2017,2017,0,0,CLE,GB,1227.490928,1502.856237,0.229531223,21,27,0
12/10/2017,2017,0,0,CIN,CHI,1463.578256,1372.725169,0.710366043,7,33,0
12/10/2017,2017,0,0,BUF,IND,1480.123813,1379.795115,0.72145864,13,7,1
12/10/2017,2017,0,0,TB,DET,1445.81409,1512.965052,0.496904557,21,24,0
12/10/2017,2017,0,0,NYG,DAL,1384.427197,1527.500303,0.389497504,10,30,0
12/10/2017,2017,0,0,DEN,NYJ,1396.138686,1458.093362,0.504382461,23,0,1
12/10/2017,2017,0,0,LAC,WSH,1534.392591,1463.703616,0.685914669,30,13,1
12/10/2017,2017,0,0,ARI,TEN,1430.438805,1516.342141,0.469953927,12,7,1
12/10/2017,2017,0,0,JAX,SEA,1536.240256,1623.063252,0.46863542,30,24,1
12/10/2017,2017,0,0,LAR,PHI,1592.238506,1643.16434,0.520243281,35,43,0
12/10/2017,2017,0,0,PIT,BAL,1659.651297,1567.301353,0.712135658,39,38,1
12/11/2017,2017,0,0,MIA,NE,1432.95323,1746.217308,0.193235381,27,20,1
12/14/2017,2017,0,0,IND,DEN,1369.712489,1427.597124,0.510238401,13,25,0
12/16/2017,2017,0,0,DET,CHI,1526.728714,1423.120288,0.725236708,20,10,1
12/16/2017,2017,0,0,KC,LAC,1572.786355,1551.49428,0.621692234,30,13,1
12/17/2017,2017,0,0,BUF,MIA,1490.206439,1470.773548,0.619171887,24,16,1
12/17/2017,2017,0,0,CAR,GB,1586.631597,1511.009555,0.691999866,31,24,1
12/17/2017,2017,0,0,CLE,BAL,1219.33761,1563.577076,0.166945511,10,27,0
12/17/2017,2017,0,0,JAX,HOU,1557.1272,1392.458884,0.789527074,45,7,1
12/17/2017,2017,0,0,MIN,CIN,1629.587894,1413.183137,0.834780786,34,7,1
12/17/2017,2017,0,0,NO,NYJ,1630.871899,1426.634924,0.824892444,31,19,1
12/17/2017,2017,0,0,NYG,PHI,1361.523327,1666.173363,0.20108345,29,34,0
12/17/2017,2017,0,0,WSH,ARI,1446.601926,1449.615313,0.588271308,20,15,1
12/17/2017,2017,0,0,SEA,LAR,1602.176309,1569.229483,0.63733763,7,42,0
12/17/2017,2017,0,0,SF,TEN,1338.315886,1497.165633,0.368131155,25,23,1
12/17/2017,2017,0,0,PIT,NE,1663.375573,1708.39699,0.528719845,24,27,0
12/17/2017,2017,0,0,OAK,DAL,1482.574546,1550.404174,0.495927928,17,20,0
12/18/2017,2017,0,0,TB,ATL,1432.050427,1628.896257,0.318870887,21,24,0
12/23/2017,2017,0,0,BAL,IND,1572.1408,1343.452845,0.844303544,23,16,1
12/23/2017,2017,0,0,GB,MIN,1498.969762,1639.350084,0.393189703,0,16,0
12/24/2017,2017,0,0,KC,MIA,1593.829949,1454.656789,0.764104417,29,13,1
12/24/2017,2017,0,0,CIN,DET,1403.420947,1538.967782,0.399847581,26,17,1
12/24/2017,2017,0,0,CHI,CLE,1410.881221,1210.773886,0.821432119,20,3,1
12/24/2017,2017,0,0,CAR,TB,1598.67139,1423.70933,0.799204945,22,19,1
12/24/2017,2017,0,0,WSH,DEN,1460.951979,1453.856768,0.602289385,27,11,1
12/24/2017,2017,0,0,TEN,LAR,1482.663406,1617.036125,0.401470568,23,27,0
12/24/2017,2017,0,0,NYJ,LAC,1418.631541,1530.450686,0.43302674,7,14,0
12/24/2017,2017,0,0,NO,ATL,1638.875282,1637.237354,0.594740784,23,13,1
12/24/2017,2017,0,0,NE,BUF,1723.19056,1506.323199,0.835147739,37,16,1
12/24/2017,2017,0,0,SF,JAX,1352.818114,1571.091058,0.292699321,44,33,1
12/24/2017,2017,0,0,ARI,NYG,1435.26526,1355.025305,0.697636528,23,0,1
